name	id	max_length	max_width	island_group	body_of_water
Carpenters Island	/m/06zr3z2				
Dhiggaru	/m/076sjz				
Sule Skerry	/m/06tcl_				
Bulhalafushi	/m/07px65				
Baratang	/m/07ngsb			Andaman Islands,Great Andaman	Indian Ocean,Andaman Sea
Felidhoo	/m/076svr				
Inchmurrin	/m/0743rp				Loch Lomond
Maththidhoo	/m/07pyl9				
Channel Rock	/m/06v0m1				Victoria Harbour
Dhiguvarufinolhu	/m/07pxll				
Renaud Island	/m/07_l7x			Biscoe Islands	
Kouaku	/m/0746lc4			Tuamotu-Gambier Islands	
Teanu	/m/0gfdm3n				Coral Sea
South Limestone Island	/m/0gcr9n				
Arzanah Island	/m/0gggrt3				Persian Gulf
Lim Island	/m/09gc13t				
Grosse Ile	/m/09k7b5q				Great Lakes
Qelelevu	/m/0934d3				Pacific Ocean
Elliott Key	/m/0956zm			Florida Keys	
Griffen Island	/m/09l0qb				
Nicholson Island	/m/0b741sh				
Yanuca Levu	/m/090zhc				
Ap Tan Pai	/m/09cv3c				
Arey Island	/m/097_tt				
Charles Darwin Research Station	/m/0972rk				
Wadmalaw Island	/m/0b1b6b				
Viringili	/m/0b0f24				
Wolf Rock, Cornwall	/m/097qht				
Mamajuda Island	/m/09rsjq5				
Bigwin Island	/m/09b3vl				
Bun Bei Chau	/m/09hcpc				
Wyche Island	/m/0dsf6ns				
Gable Island	/m/0fp_g_j				
Thil Island	/m/0fp_6_9				
Split Island	/m/0fty3_			Canadian Arctic Archipelago,Belcher Islands	
Yelagin Island	/m/0fvfvf				
Eriyadhoo	/m/07p_0m				
Buldir Island	/m/077t2_			Aleutian Islands	
Priest Island	/m/06r0nr			British Isles,Inner Hebrides	
Goat Island	/m/06w1k19				
Fehendhoo	/m/076v76				
Garbh Eileach	/m/07dp_h			Inner Hebrides,British Isles	
Skerryvore	/m/06wrzw			Inner Hebrides,British Isles	
Kudadhoo	/m/07pwq7				
Mallorca	/m/0g52z			Balearic Islands	Mediterranean Sea
Cat Island	/m/0fvv_m			Apostle Islands	
Furzey Island	/m/0gm11x				
Madeline Island	/m/0fvw67			Apostle Islands	Great Lakes
Northbrook Island	/m/0gxgbr				
Gould Island	/m/0gmynl				
Horse Isle	/m/06mhy9				
Funk Island	/m/074__q				
Meedhoo	/m/076s56				
Rat Island	/m/077tnq			Aleutian Islands,Rat Islands	Indian Ocean
Eilean Glas, Scalpay	/m/06xwds			British Isles,Outer Hebrides	
Inishmore	/m/06th11			Aran Islands,British Isles	Galway Bay
Kudahuvadhoo	/m/076s3t				
Hinnavaru	/m/076v08				
Gili Meno	/m/07dxnl				
Baluan Island	/m/06mcj1				
Hithaadhoogalaa	/m/07py5y				
Stonington Island	/m/080yg9				
Île de Batz	/m/08g3l7				English Channel
Anuxanon Island	/m/07md71				
Ensay, Outer Hebrides	/m/0g8c5p			Outer Hebrides,British Isles	
Biševo	/m/0h6b7t				Adriatic Sea
Magh Island	/m/0h_6nsq				Lake Urmia
Onekotan	/m/07s8d4			Kuril Islands	Sea of Okhotsk
Fihalhohi	/m/07p_1n				
Gasfinolhu	/m/07p_30				
Inishtooskert	/m/08ct8y				Tralee Bay
Caribou Island	/m/080b5wy				Great Lakes
Maafushivaru	/m/07pwr8				
Big Tancook Island	/m/08jy94				
Bar Rock	/m/07n4nt				
Hulhumalé	/m/07p7nn			Maldives Island Group	
Kanifinolhu	/m/07p_8l				
Hulhudhoo	/m/076bmf				
Meradhoo	/m/07pyp1				
Makaroa	/m/0746l6k			Tuamotu-Gambier Islands	
Whale Island, New Zealand	/m/04cc25				
Hilbre Island	/m/0453kr				
Green Island, Hong Kong	/m/04d849				Victoria Harbour
Aptekarsky Island	/m/03hlpn7				
Nukapu	/m/03m8z7r				Coral Sea
Ailsa Craig	/m/03y983q				
Bird Rock	/m/04jpjkt				
Dundas Island	/m/04cw0zg			Canadian Arctic Archipelago	
Lachlan Island	/m/04n5r1s				
Middle Mouse	/m/03jm37				
Inner Little Goose Island	/m/03wbvg9				
Squirrel island maine	/m/026x_k9				
